colors	frequency
#8ae8ff	1188
#99cc00	175
#ff0000	140
#feedff	2
#fddbff	2
#ffb8fd	2
#fd78ff	5
#fb00ff	18
#6b0000	1
#99ccff	46
#0c0e0e	175
#787878	5
#575757	5
#333333	7
#e01d1d	1
#ffd700	106
#339966	1
#96be50	562
#ff9900	64
#f1a1ff	2
#ffcc00	197
#cc99ff	102
#999999	119
#993300	64
#808080	1
#eb0e0e	2
#b7b7b7	2
#ff00ff	4
#fffd73	36
#ccffff	3
#3366ff	3
#00ccff	1
#800000	3
#8f8f8f	1
#404040	2
#947257	2
#c27ba0	7
#9fc5e8	14
#b6d7a8	12
#ea9999	44
#e69138	4
#f6b26b	5
#801717	1
#9234d1	1
#de7a10	1
#ff3700	2
#eb81b1	4
#f29b68	9
#95e094	6
#d9f7ff	3
#c20000	1
#e8d05a	1
#2ca7d4	1
#bd72d4	1
#a3a3a3	1
#00fff7	1
#ff4d00	1
#ffffff	1
#ffff00	4
#c73838	1
#95c754	1
#5d2299	1
#ffff99	4
#00ffff	1
#e67a7a	1
#4d0e03	6
#bdd2db	4
#ff99cc	2
#ff6600	2
#00ff00	7
#ffbf00	1
#c800ff	1
#cc0000	3
#1155cc	41
#ff95ff	1
#00ff40	1
#cbf2f3	1
#d9d9d9	1
#b8ff54	1
#93c47d	5
#e99fd0	7
#76a5af	1
#d5a6bd	2
#ffd966	1
#dffcac	1
#a64d79	4
#9e89a7	1
#cb85e9	1
#795d4e	4
#c02155	4
#6f243e	1
#db7fac	1
#cc4125	1
#8e7cc3	2
#9900ff	5
#bf9000	1
#45818e	1
#f9cb9c	4
#b4a7d6	15
#4a86e8	11
#e06666	10
#5dd65d	1
#84d840	1
#cbb499	35
#d66232	12
#7cc58a	9
#a0ced1	13
#ffc800	70
#b88c1e	428
#b6a9cd	128
#b2a386	59
#ec2700	1
#b7ff00	19
#980000	1
#292929	1
#ff9d9d	1
#c14646	1
#8b1818	1
#620000	1
#056578	1
#0e5c8b	1
#16a1b5	1
#00d5ff	1
#70dbff	1
#6aa84f	207
#990000	3
#b7e287	1
#87c740	1
#38761d	1
#f1c232	1
#674ea7	1
#212626	1
#741b47	1
#ffd500	2
#e09500	2
#ad4100	2
#ff5500	2
#660000	2
#ff2505	4
